row,column,value
1,us,20% broad tariff on all Chinese imports (effective February 4; increased March 4)
1,retaliatory,China 10%/15% list (announced February 4)
2,us,10% tariff on Canadian potash and energy (effective April 2)
2,retaliatory,Canada 25% list (announced March 4)
3,us,"25% tariff on all Mexican imports. 35% on other Canadian imports* (prior 25% rates effective March 4, 35% rate effective August 7)"
3,retaliatory,China 10%/15% list (announced March 4)
4,us,"25% tariff on all automobiles, with an exemption for US content and a discount through April 2027 on parts tariffs for US-assembled autos** (effective April 3), reduced to 10% on the first 100K UK imports (announced May 8), 15% on the EU (announced July 31)."
4,retaliatory,Canada 25% list (announced March 13)
5,us,"50% tariff on all steel and aluminum imports (effective March 12, raised May 30), 0% on the UK (announced May 8), extended to steel derivative products (effective June 23)."
5,retaliatory,"China broad 125%, lowered to 10% for 90 days (announced April 4; increased April 11; lowered May 12)"
6,us,"50% tariff on copper imports, clarified to exclude refined copper and copper ore (announced July 8, effective August 7)."
6,retaliatory,UK reduction in ethanol tariff on the US to 0% (announced May 8).
7,us,"Modified April 2 announcement: 10% minimum tariffs on all countries ex. China, Canada, & Mexico; 125% tariff on China lowered to 10% for 90 days on May 12 (effective April 9, modified April 9, 90-day duration)***. July 31 unilateral announcements and bilaterial deals with Japan, Indonesia, the Philippines, & the EU (effective August 7)."
7,retaliatory,
8,us,"US-Vietnam July 2 framework: 20% broad tariff, 40% tariff on goods transshipped from China."
8,retaliatory,
9,us,"August 22 announcement: Canada effectively dropping most of their retaliatory tariffs against the US. August 20: US expanded the scope of steel & aluminum tariffs."
9,retaliatory,
10,us,June 2026: IEEPA tariffs invalidated and not replaced with alternative tariff authorities.
10,retaliatory,
